series_key,role,hs10,window_from,window_to,regime,rule,confidence,source_url,checked_on,note
am_recipients,recipient,8485100000,2022-01-01,9999-12-31,"am recipient, from 2022-01",dictionary: code opened under heading 8485 in 2022-01,high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,"Machines, for additive manufacturing/3D printing, by metal deposit"
am_recipients,recipient,8485200000,2022-01-01,9999-12-31,"am recipient, from 2022-01",dictionary: code opened under heading 8485 in 2022-01,high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,"Machines, for additive manufacturing/3D printing, by plastics or rubber deposit"
am_recipients,recipient,8485300000,2022-01-01,9999-12-31,"am recipient, from 2022-01",dictionary: code opened under heading 8485 in 2022-01,high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,"Machines, for additive mfg/3D print, by plaster, cement, ceramics/glass deposit"
am_recipients,recipient,8485800000,2022-01-01,9999-12-31,"am recipient, from 2022-01",dictionary: code opened under heading 8485 in 2022-01,high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,"Machines, for additive manufacturing, also referred to as 3D printing, nes"
am_recipients,recipient,8485901000,2022-01-01,9999-12-31,"am recipient, from 2022-01",dictionary: code opened under heading 8485 in 2022-01,high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,"Parts, for bed,base,table,column,cradle,etc,f machines of additive mfg/3D print"
am_recipients,recipient,8485902000,2022-01-01,9999-12-31,"am recipient, from 2022-01",dictionary: code opened under heading 8485 in 2022-01,high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,"Parts,for base,bed,platen,clamp,cylinder,etc, f machines additive mfg/3D print"
am_recipients,recipient,8485903000,2022-01-01,9999-12-31,"am recipient, from 2022-01",dictionary: code opened under heading 8485 in 2022-01,high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,"Parts, of barrel screws, for machines of additive manufacturing or 3D printing"
am_recipients,recipient,8485904000,2022-01-01,9999-12-31,"am recipient, from 2022-01",dictionary: code opened under heading 8485 in 2022-01,high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,"Parts,hydraulic asy consis least two,manifold,valves,etc,f mach add mfg/3D print"
am_recipients,recipient,8485909000,2022-01-01,9999-12-31,"am recipient, from 2022-01",dictionary: code opened under heading 8485 in 2022-01,high,https://www150.statcan.gc.ca/n1/pub/71-607-x/2021004/zip/CIMT-CICM_Imp_2026.zip,2026-09-09,"Parts, for machines of additive manufacturing or 3D printing, nes"
am_donors,donor,8441800000,2012-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485800000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Machinery for making up paper pulp, paper or paperboard, nes | 2022: Machinery,o,for making up paper pulp, paper/paperboard,o/t for moulding articles"
am_donors,donor,8463900000,2012-01-01,9999-12-31,"am donor, narrowed at 2022-01",published concordance: obsolete code maps to 8485100000,high,https://www.cbsa-asfc.gc.ca/trade-commerce/tariff-tarif/2022/concordance/conc-10-stats-2022.xlsx,2026-09-09,"2021: Machine-tools for working metal or cermets, without removing material, nes | 2022: Machine-tools for working metal or cermets, without removing material, nes"
